term,slug,canonical,reading,meaning,senses,register,keigo,freq,jlpt,family,candidate_prereqs,fold_into_parent,confidence,review_reason,src_risk,src_volumes,src_glosses
(no) de areba,no-de-areba,のであれば,のであれば,if it is the case that ~ / if so ~ (formal conditional),,polite-spoken|written-modern,none,uncommon,N2,conditional,ba,,high,,,A,<to atte wa>
(no) kawari ni,no-kawari-ni,の代わりに,のかわりに,instead of ~ / in place of ~ / in exchange for ~,,casual-spoken|polite-spoken|written-modern,none,common,N3,connective,,,high,,,I,
(no) nara,no-nara,のなら,のなら,if ~ (is the case) / given that ~ (conditional on a stated supposition),,casual-spoken|polite-spoken|written-modern,none,common,N4,conditional,nara,,high,,,A,<to atte wa>
(no) ue de,no-ue-de,〜上で,うえで,after ~ / upon ~ (doing one thing as the basis for the next step),,polite-spoken|written-modern,none,common,N2,connective,,,high,,,A|I,<ageku (ni)>
(o oite) hoka ni (wa)~2 nai,o-oite-hoka-ni-nai,をおいて〜ない,をおいてほかにない,there is no ~ other than ...; ~ is the only one,,written-modern|literary,none,rare,N1,other,,,med,literary idiom をおいて…ない; '~2' is a superscript artifact,,A,
(so) desu ga,so-desu-ga,そうですが,そうですが,"that may be so, but ~ (concessive acknowledgment before objecting)",,polite-spoken,teineigo,common,N3,connective,,,med,reconstructed concessive そうですが from see-also そうかといって,,I,<sō ka to itte>
(tatoete) iu naraba,tatoete-iu-naraba,例えて言うならば,たとえていうならば,so to speak; to put it figuratively; if I may use a metaphor,,polite-spoken|written-modern,none,rare,N1,other,,,med,set figurative phrase; reconstructed,,A,<itte mireba>
(to i) ttara nai,to-ittara-nai,〜といったらない,といったらない,indescribably ~ / extremely ~ (an emotion or degree beyond words),,casual-spoken|written-modern,none,uncommon,N1,other,,,high,OCR '(to i) ttara' normalized to といったら,,A,
(yori/no) hoka (ni) (wa)~nai,yori-hoka-nai-2,〜よりほかない,よりほかない,there is no choice but ~; nothing other than ~,,polite-spoken|written-modern,none,uncommon,N2,modality,,,med,likely same pattern as yori-hoka-nai (risk row); merge in reconciliation,,A,
- te mote mo,te-mo,〜ても,ても,even if ~ / even though ~ (concessive),,casual-spoken|polite-spoken|written-modern,none,essential,N4,connective,te-form,,low,OCR garble '- te mote mo'; reconstructed as core concessive ても (page 603),,A,
- to iwazu~to iwazu,to-iwazu-to-iwazu,〜といわず〜といわず,といわずといわず,both ~ and ~ alike; whether ~ or ~ (no distinction made),,written-modern|literary,none,rare,N1,connective,,,high,,,A,
-ga (i) -nakereba,ga-nakereba,〜がなければ,がなければ,if there is no ~ / without ~ (conditional),,casual-spoken|polite-spoken|written-modern,none,common,N3,conditional,nai-form,,low,OCR '-ga (i) -nakereba'; reconstructed 'if not exist / without' via see-also なしでは,,I,<nashi de wa>
-ka nai ka,ka-nai-ka,〜か〜ないか,かないか,whether or not ~; ~ or not,,casual-spoken|polite-spoken|written-modern,none,common,N3,connective,ka,,high,,,A,<ka ina ka>
-koto wa ga,koto-wa-ga,〜ことは〜が,ことは〜が,"it is true that ~, but ~ (concessive admission)",,casual-spoken|polite-spoken|written-modern,none,uncommon,N2,connective,koto,,low,"missing_only, garbled '-koto wa ga'; reconstructed 〜ことは〜が concessive via see-also たしかに〜が",missing_only,,<tashikani~ga>
-to iito ii,to-ii-to-ii,〜といい〜といい,といいといい,both ~ and ~ (whether you consider one aspect or another),,casual-spoken|polite-spoken|written-modern,none,uncommon,N1,connective,,,med,OCR doubling 'iito ii'; reconstructed といい〜といい listing (vs wish といい),,A,
0~suru,o-suru-2,お〜する,お〜する,humble form: I humbly do ~ for you (お/ご + masu-stem + する),,polite-spoken|written-modern,kenjougo,common,N4,honorific,masu-stem,,med,'0' = OCR お; duplicate of o-suru (risk pass); merge in reconciliation,,B,
Imperative,imperative,命令形,めいれいけい,"the imperative (command) verb form: 行け, 食べろ, しろ",,casual-spoken|written-modern|literary,none,common,N4,other,,,high,"grammar-concept entry (verb form), not a particle string",,I,
In da,no-da,のだ,のだ,explanatory のだ/んだ: 'the fact is ~ / it's that ~' (gives background or reason),,casual-spoken|polite-spoken|written-modern,none,essential,N4,modality,,,high,'In da' = OCR んだ; this is the explanatory のだ node (colloquial んだ),,A,<no da>
"Relative Clause B ,",relative-clause,連体修飾節,れんたいしゅうしょくせつ,relative (noun-modifying) clause: a clause placed before a noun to modify it,,casual-spoken|polite-spoken|written-modern,none,essential,N4,other,,,high,"grammar-concept entry; 'B ,' is OCR junk",,I,
Rhetorical Question,rhetorical-question,反語,はんご,"rhetorical question: a question posed for effect, expecting no real answer",,casual-spoken|polite-spoken|written-modern,none,common,N3,other,,,high,grammar-concept entry,,I,
Vinf nonpast na,na-prohibitive,〜な,な,"negative command 'don't ~' (plain non-past verb + な): 行くな, 見るな",,casual-spoken|literary,none,common,N3,modality,,,high,prohibitive な (distinct from softening なさい/な),,A,<bekarazu/bekara- zaru>
Vmasu,masu-stem,連用形（ます形）,れんようけい,"the masu-stem (連用形): the verb base used for ます, compounds, and conjunctive linking",,casual-spoken|polite-spoken|written-modern,none,essential,N5,form,,,high,foundation form (non-catalog anchor *masu-stem now realized as a node),,I,
Vmasu as a Noun,masu-stem-noun,連用形の名詞用法,れんようけいのめいしようほう,"using a verb's masu-stem as a noun: 動く→動き 'movement', 遊ぶ→遊び 'play'",,casual-spoken|polite-spoken|written-modern,none,common,N3,nominalizer,masu-stem,,high,,,I,
Vpot hazu ga nai,hazu-ga-nai,〜はずがない,はずがない,there is no way that ~; ~ cannot possibly be the case,,casual-spoken|polite-spoken|written-modern,none,common,N4,modality,,,high,,,A,<beku mo nai>
Vpot wake ga nai,wake-ga-nai,〜わけがない,わけがない,there is no way ~ / it is impossible that ~,,casual-spoken|polite-spoken|written-modern,none,common,N3,modality,,,high,,,A,<beku mo nai>
Vte,te-form,て形,てけい,"the て-form of verbs/adjectives: the connective form used for linking, requests, and aspect",,casual-spoken|polite-spoken|written-modern,none,essential,N5,form,masu-stem,,high,foundation form (non-catalog anchor *te-form now realized as a node),,I,<Vmasu>
Vte kudasai,te-kudasai,〜てください,てください,please do ~ (polite request),,polite-spoken,teineigo,essential,N5,auxiliary,te-form,,high,,,A,<negau/negaimasu>
ZO,zo,ぞ,ぞ,"sentence-final ぞ: forceful assertion or emphasis (masculine, casual)",,casual-spoken,none,common,N3,particle,,,high,,,I,
aete,aete,あえて,あえて,daringly / deliberately / going out of one's way to ~,,polite-spoken|written-modern,none,uncommon,N1,adverbial,,,high,,,A,
ageku (ni),ageku-ni,〜あげく(に),あげく(に),after ~ (and as an unfortunate result); in the end after much ~,,polite-spoken|written-modern,none,uncommon,N2,connective,,,high,,,A,
aida (ni),aida-ni,〜間(に),あいだ(に),while / during ~ (あいだに = at a point within the span; あいだ = throughout the span),,casual-spoken|polite-spoken|written-modern,none,common,N4,connective,,,high,"holds あいだ (throughout) vs あいだに (at a point within) — closely related, kept as one",,B,
aida wa,aida-wa,〜間は,あいだは,during the time that ~ / as long as ~ (contrastive period),,casual-spoken|polite-spoken|written-modern,none,uncommon,N3,connective,aida-ni,,med,missing_only; reconstructed あいだは period via see-also kagiri,missing_only,,<kagiri '>
akiraka ni,akiraka-ni,明らかに,あきらかに,clearly / obviously / evidently (marks an evident conclusion),,casual-spoken|polite-spoken|written-modern,none,common,N2,adverbial,,,med,borderline lexical adverb 明らかに; kept as evidential adverbial,,A,<miru kara ni>
akumade mo,akumade-mo,あくまでも,あくまでも,to the very end / persistently / strictly (emphasizing firmness of stance),,polite-spoken|written-modern,none,uncommon,N1,adverbial,,,high,,,A,
an no jō,an-no-jo,案の定,あんのじょう,sure enough / just as expected / as feared,,polite-spoken|written-modern,none,uncommon,N1,adverbial,,,high,,,A,<hatashite>
anagachi~nai,anagachi-nai,あながち〜ない,あながち〜ない,not necessarily ~ / not entirely ~ (with a negative predicate),,polite-spoken|written-modern,none,uncommon,N1,adverbial,nai-form,,high,,,A,
angai,angai,案外,あんがい,unexpectedly / surprisingly (contrary to expectation),,casual-spoken|polite-spoken|written-modern,none,common,N2,adverbial,,,med,adverb 案外; kept as degree/evidential adverbial (borderline lexical),,A,<kekkō>
anmari,anmari,あんまり,あんまり,"colloquial あまり: '(not) very' (with negative) / 'too much, excessively'",,casual-spoken,none,common,N4,adverbial,amari,,high,,,B,<amari>
aruiwa,aruiwa,あるいは,あるいは,or / alternatively; possibly / perhaps,,polite-spoken|written-modern,none,common,N2,connective,,,high,,,A,<mata> ;; <moshikuwa> ;; <naishi (wa)>
atakamo,atakamo,あたかも,あたかも,just as if / as though (typically paired with かのようだ),,written-modern|literary,none,rare,N1,adverbial,,,high,,,A,<ka no yōni>
atari,atari,〜あたり,あたり,around ~ / approximately ~; (citing an example) something like ~,,casual-spoken|polite-spoken|written-modern,none,common,N2,particle,,,med,"あたり: 'around/approx' + 'for instance' senses; closely related, kept as one",,I,<ni tsuki>
atarimae da,atarimae-da,当たり前だ,あたりまえだ,it is natural / obvious / a matter of course that ~,,casual-spoken|polite-spoken|written-modern,none,common,N3,modality,,,high,"evaluative modality (borderline lexical, kept)",,A,<mono de wa nai>
ato,ato,あと,あと,besides / on top of that / and also (adding a further item to a list),,casual-spoken,none,common,N3,connective,,,med,あと has temporal 'after' and additive 'besides' senses; see-also さらに → additive sense,,A,<sara ni>
ato (de),ato-de,〜あと(で),あと(で),after ~ (doing) / later,,casual-spoken|polite-spoken|written-modern,none,essential,N4,connective,ta-form,,high,,,A,<sue (ni)>
ato de,ato-de-2,〜あとで,あとで,after ~ (doing) / later,,casual-spoken|polite-spoken|written-modern,none,essential,N4,connective,ta-form,,med,"duplicate of ato-de (B vol, temporal あとで); merge in reconciliation",,B,
ba,ba,〜ば,ば,"conditional 'if ~' (ば-form): general, hypothetical, and natural-consequence conditions",,casual-spoken|polite-spoken|written-modern,none,essential,N4,conditional,,,high,core ば-conditional (non-catalog anchor *ba-conditional now realized as a node),,B,
ba koso,ba-koso,〜ばこそ,ばこそ,"precisely because ~ / it is exactly because ~ (emphatic, formal reason)",,written-modern|literary,none,rare,N1,connective,ba,,high,,,A,
ba yokatta,ba-yokatta,〜ばよかった,ばよかった,should have ~ / I wish I had ~ (regret over what wasn't done),,casual-spoken|polite-spoken,none,common,N4,modality,ba,,high,,,B,
ba'ai,baai,〜場合,ばあい,in the case of ~ / when ~ / if ~ (a situation or contingency),,casual-spoken|polite-spoken|written-modern,none,essential,N4,connective,,,high,,missing_only,,<sai (ni)>
bakari,bakari,〜ばかり,ばかり,only / nothing but ~; just (did) ~ (〜たばかり); approximately ~,,casual-spoken|polite-spoken|written-modern,none,common,N3,particle,,,med,"ばかり multi-sense: limiting 'only', just-completed 〜たばかり, approximate; base node for bakari-da/ni/de-naku",,B,
bakari da,bakari-da,〜ばかりだ,ばかりだ,"things only keep ~ing (a one-way, usually worsening, trend)",,polite-spoken|written-modern,none,uncommon,N2,aspect,bakari,,high,,,A,<ippō (da)>
bakari de naku~(mo),bakari-de-wa-naku-3,〜ばかりでなく,ばかりでなく,not only ~ but also ~,,casual-spoken|polite-spoken|written-modern,none,common,N3,connective,bakari,,med,another bakari-de-naku row; merge with bakari-de-wa-naku family in reconciliation,,A,<kuwaete>
bakari ni,bakari-ni,〜ばかりに,ばかりに,simply because ~ (leading to an unfortunate or unexpected result),,polite-spoken|written-modern,none,uncommon,N2,connective,bakari,,high,,,A,
ba~hodo,ba-hodo,〜ば〜ほど,ばほど,"the more ~, the more ~ (proportional change)",,casual-spoken|polite-spoken|written-modern,none,common,N3,conditional,ba,,high,,,I,<hodo>
bekarazu/bekarazaru,bekarazu,〜べからず／べからざる,べからず／べからざる,"must not ~ (べからず, classical prohibition); 'inadmissible ~' (べからざる, attributive)",,written-modern|literary|archaic,none,rare,N1,modality,beki-da,,high,,,A,
beki de wa nai,beki-de-wa-nai,〜べきではない,べきではない,should not ~ / ought not to ~,,polite-spoken|written-modern,none,common,N3,modality,beki-da,,high,,,A,<mono de wa nai>
beki ka,beki-ka,〜べきか,べきか,should ~? / ought one to ~? (deliberative question),,polite-spoken|written-modern,none,uncommon,N2,modality,beki-da,,high,,,A,<mono ka '>
bekida,beki-da,〜べきだ,べきだ,should ~ / ought to ~ (strong advisability/obligation),,casual-spoken|polite-spoken|written-modern,none,common,N3,modality,,,high,,,I,
beku,beku,〜べく,べく,in order to ~ / so as to ~ (formal/literary purposive),,written-modern|literary,none,rare,N1,connective,beki-da,,high,,,A,
beku mo nai,beku-mo-nai,〜べくもない,べくもない,there is no way one can ~ / cannot possibly ~ (literary),,written-modern|literary,none,rare,N1,modality,beku,,high,,,A,
beku shite,beku-shite,〜べくして,べくして,inevitably ~ / as was bound to happen (起こるべくして起こった),,written-modern|literary,none,rare,N1,connective,beku,,high,,,A,
bun,bun,〜分,ぶん,the portion/amount of ~; to the extent of ~ (働いた分だけもらう),,casual-spoken|polite-spoken|written-modern,none,common,N2,particle,,,med,分: 'portion/extent' grammatical use (vs lexical 'part'),,I,
